day,variable_0,variable_1,prop_infected
1,0.5,0.1,0.001
2,0.5,0.1,0.0009998000000000001
3,0.5,0.1,0.00099955009999
4,0.5,0.1,0.0009992503588774303
5,0.5,0.1,0.0009989008454818395
6,0.5,0.1,0.0009985016385028237
7,0.5,0.1,0.0009980528264838054
8,0.5,0.1,0.0009975545077716944
9,0.5,0.1,0.0009970067904724565
10,0.5,0.1,0.0009964097924026292
11,0.5,0.1,0.0009957636410368148
12,0.5,0.1,0.0009950684734511975
13,0.5,0.1,0.0009943244362631202
14,0.5,0.1,0.0009935316855667702
15,0.5,0.1,0.0009926903868650201
16,0.5,0.1,0.0009918007149974737
17,0.5,0.1,0.0009908628540647709
18,0.5,0.1,0.0009898769973492056
19,0.5,0.1,0.0009888433472317166
20,0.5,0.1,0.0009877621151053086
21,0.5,0.1,0.0009866335212849692
22,0.5,0.1,0.000985457794914144
23,0.5,0.1,0.0009842351738678383
24,0.5,0.1,0.0009829659046524148
25,0.5,0.1,0.000981650242302156
26,0.5,0.1,0.0009802884502726687
27,0.5,0.1,0.0009788808003311999
28,0.5,0.1,0.0009774275724439478
29,0.5,0.1,0.0009759290546604387
30,0.5,0.1,0.0009743855429950568
31,0.5,0.1,0.0009727973413058054
32,0.5,0.1,0.0009711647611703811
33,0.5,0.1,0.0009694881217596504
34,0.5,0.1,0.0009677677497086093
35,0.5,0.1,0.0009660039789849174
36,0.5,0.1,0.0009641971507550911
37,0.5,0.1,0.0009623476132484484
38,0.5,0.1,0.0009604557216188934
39,0.5,0.1,0.000958521837804632
40,0.5,0.1,0.0009565463303859121
41,0.5,0.1,0.0009545295744408779
42,0.5,0.1,0.0009524719513996357
43,0.5,0.1,0.0009503738488966209
44,0.5,0.1,0.0009482356606213622
45,0.5,0.1,0.0009460577861677376
46,0.5,0.1,0.0009438406308818172
47,0.5,0.1,0.0009415846057083853
48,0.5,0.1,0.0009392901270362403
49,0.5,0.1,0.0009369576165423646
50,0.5,0.1,0.0009345875010350604
51,0.5,0.1,0.0009321802122961467
52,0.5,0.1,0.0009297361869223099
53,0.5,0.1,0.0009272558661657054
54,0.5,0.1,0.0009247396957739004
55,0.5,0.1,0.0009221881258292526
56,0.5,0.1,0.0009196016105878193
57,0.5,0.1,0.0009169806083178851
58,0.5,0.1,0.0009143255811382028
59,0.5,0.1,0.000911636994856036
60,0.5,0.1,0.0009089153188050941
61,0.5,0.1,0.0009061610256834485
62,0.5,0.1,0.0009033745913915161
63,0.5,0.1,0.0009005564948701999
64,0.5,0.1,0.0008977072179392681
65,0.5,0.1,0.0008948272451360609
66,0.5,0.1,0.0008919170635546041
67,0.5,0.1,0.0008889771626852133
68,0.5,0.1,0.0008860080342546697
69,0.5,0.1,0.0008830101720670451
70,0.5,0.1,0.0008799840718452551
71,0.5,0.1,0.0008769302310734166
72,0.5,0.1,0.0008738491488400836
73,0.5,0.1,0.0008707413256824356
74,0.5,0.1,0.0008676072634314888
75,0.5,0.1,0.0008644474650584015
76,0.5,0.1,0.0008612624345219404
77,0.5,0.1,0.0008580526766171756
78,0.5,0.1,0.000854818696825469
79,0.5,0.1,0.0008515610011658166
80,0.5,0.1,0.000848280096047611
81,0.5,0.1,0.0008449764881248776
82,0.5,0.1,0.0008416506841520466
83,0.5,0.1,0.0008383031908413142
84,0.5,0.1,0.0008349345147216471
85,0.5,0.1,0.0008315451619994829
86,0.5,0.1,0.0008281356384211755
87,0.5,0.1,0.0008247064491372346
88,0.5,0.1,0.0008212580985684037
89,0.5,0.1,0.000817791090273624
90,0.5,0.1,0.0008143059268199222
91,0.5,0.1,0.000810803109654267
92,0.5,0.1,0.0008072831389774291
93,0.5,0.1,0.0008037465136198835
94,0.5,0.1,0.0008001937309197882
95,0.5,0.1,0.0007966252866030703
96,0.5,0.1,0.0007930416746656534
97,0.5,0.1,0.0007894433872578522
98,0.5,0.1,0.0007858309145709625
99,0.5,0.1,0.0007822047447260724
100,0.5,0.1,0.0007785653636651149
1,0.55,0.1,0.001
2,0.55,0.1,0.0009998000000000001
3,0.55,0.1,0.0010005477017896
4,0.55,0.1,0.0010020615391088017
5,0.55,0.1,0.00100419344191397
6,0.55,0.1,0.0010068226254053994
7,0.55,0.1,0.0010098505303904226
8,0.55,0.1,0.0010131967016776666
9,0.55,0.1,0.0010167954306822046
10,0.55,0.1,0.0010205930206078902
11,0.55,0.1,0.0010245455588071357
12,0.55,0.1,0.001028617102298218
13,0.55,0.1,0.0010327781998423918
14,0.55,0.1,0.0010370046881791578
15,0.55,0.1,0.0010412767115846279
16,0.55,0.1,0.0010455779233416048
17,0.55,0.1,0.0010498948353874326
18,0.55,0.1,0.0010542162886602393
19,0.55,0.1,0.0010585330217594239
20,0.55,0.1,0.0010628373196869473
21,0.55,0.1,0.0010671227278171707
22,0.55,0.1,0.0010713838189972725
23,0.55,0.1,0.0010756160039238714
24,0.55,0.1,0.001079815376769034
25,0.55,0.1,0.0010839785895175162
26,0.55,0.1,0.0010881027496896715
27,0.55,0.1,0.0010921853371121803
28,0.55,0.1,0.0010962241362032824
29,0.55,0.1,0.0011002171808945185
30,0.55,0.1,0.0011041627098447616
31,0.55,0.1,0.0011080591300371026
32,0.55,0.1,0.0011119049872032785
33,0.55,0.1,0.0011156989418087916
34,0.55,0.1,0.00111943974956681
35,0.55,0.1,0.0011231262456403003
36,0.55,0.1,0.0011267573318477265
37,0.55,0.1,0.0011303319663145866
38,0.55,0.1,0.0011338491551164847
39,0.55,0.1,0.0011373079455436427
40,0.55,0.1,0.0011407074206853706
41,0.55,0.1,0.0011440466950888768
42,0.55,0.1,0.0011473249112923195
43,0.55,0.1,0.0011505412370690624
44,0.55,0.1,0.0011536948632502888
45,0.55,0.1,0.0011567850020177215
46,0.55,0.1,0.001159810885578222
47,0.55,0.1,0.0011627717651483578
48,0.55,0.1,0.0011656669101903151
49,0.55,0.1,0.0011684956078513533
50,0.55,0.1,0.001171257162567817
51,0.55,0.1,0.001173950895801903
52,0.55,0.1,0.0011765761458852229
53,0.55,0.1,0.001179132267947977
54,0.55,0.1,0.0011816186339164254
55,0.55,0.1,0.001184034632564516
56,0.55,0.1,0.0011863796696080986
57,0.55,0.1,0.0011886531678322555
58,0.55,0.1,0.0011908545672439947
59,0.55,0.1,0.0011929833252439428
60,0.55,0.1,0.0011950389168118131
61,0.55,0.1,0.001197020834701355
62,0.55,0.1,0.0011989285896412427
63,0.55,0.1,0.00120076171053899
64,0.55,0.1,0.001202519744685467
65,0.55,0.1,0.0012042022579580257
66,0.55,0.1,0.0012058088350205666
67,0.55,0.1,0.0012073390795191573
68,0.55,0.1,0.001208792614272049
69,0.55,0.1,0.0012101690814531176
70,0.55,0.1,0.0012114681427679067
71,0.55,0.1,0.0012126894796215906
72,0.55,0.1,0.001213832793278263
73,0.55,0.1,0.0012148978050110638
74,0.55,0.1,0.0012158842562427154
75,0.55,0.1,0.0012167919086761092
76,0.55,0.1,0.001217620544414636
77,0.55,0.1,0.001218369966071994
78,0.55,0.1,0.0012190399968712532
79,0.55,0.1,0.001219630480732981
80,0.55,0.1,0.0012201412823522734
81,0.55,0.1,0.0012205722872645486
82,0.55,0.1,0.0012209234018999986
83,0.55,0.1,0.0012211945536266015
84,0.55,0.1,0.0012213856907816265
85,0.55,0.1,0.0012214967826915779
86,0.55,0.1,0.0012215278196805366
87,0.55,0.1,0.001221478813066884
88,0.55,0.1,0.001221349795148396
89,0.55,0.1,0.0012211408191757167
90,0.55,0.1,0.0012208519593142342
91,0.55,0.1,0.0012204833105943884
92,0.55,0.1,0.0012200349888504625
93,0.55,0.1,0.0012195071306479116
94,0.55,0.1,0.0012188998931993036
95,0.55,0.1,0.0012182134542689513
96,0.55,0.1,0.0012174480120663326
97,0.55,0.1,0.0012166037851283995
98,0.55,0.1,0.0012156810121908932
99,0.55,0.1,0.0012146799520487924
100,0.55,0.1,0.001213600883406028
1,0.6000000000000001,0.1,0.001
2,0.6000000000000001,0.1,0.0009998000000000001
3,0.6000000000000001,0.1,0.0010015453035892002
4,0.6000000000000001,0.1,0.0010049125382737912
5,0.6000000000000001,0.1,0.00100963360335953
6,0.6000000000000001,0.1,0.0010154861777887066
7,0.6000000000000001,0.1,0.0010222858553792854
8,0.6000000000000001,0.1,0.0010298796287683608
9,0.6000000000000001,0.1,0.0010381404909928756
10,0.6000000000000001,0.1,0.0010469629631612556
11,0.6000000000000001,0.1,0.001056259389451734
12,0.6000000000000001,0.1,0.0010659568678591678
13,0.6000000000000001,0.1,0.0010759947076529614
14,0.6000000000000001,0.1,0.0010863223231949279
15,0.6000000000000001,0.1,0.0010968974892546252
16,0.6000000000000001,0.1,0.0011076848957965642
17,0.6000000000000001,0.1,0.00111865495085174
18,0.6000000000000001,0.1,0.0011297827889011076
19,0.6000000000000001,0.1,0.0011410474495027966
20,0.6000000000000001,0.1,0.0011524311969466983
21,0.6000000000000001,0.1,0.0011639189567340337
22,0.6000000000000001,0.1,0.0011754978488334735
23,0.6000000000000001,0.1,0.0011871568011066946
24,0.6000000000000001,0.1,0.0011988862291471343
25,0.6000000000000001,0.1,0.0012106777711373639
26,0.6000000000000001,0.1,0.001222524068286864
27,0.6000000000000001,0.1,0.001234418583032579
28,0.6000000000000001,0.1,0.0012463554485270415
29,0.6000000000000001,0.1,0.0012583293440508474
30,0.6000000000000001,0.1,0.0012703353919073434
31,0.6000000000000001,0.1,0.001282369072120347
32,0.6000000000000001,0.1,0.0012944261518876765
33,0.6000000000000001,0.1,0.0013065026272667192
34,0.6000000000000001,0.1,0.0013185946750018322
35,0.6000000000000001,0.1,0.0013306986127624761
36,0.6000000000000001,0.1,0.0013428108663584265
37,0.6000000000000001,0.1,0.0013549279427447491
38,0.6000000000000001,0.1,0.0013670464078332646
39,0.6000000000000001,0.1,0.0013791628682962077
40,0.6000000000000001,0.1,0.0013912739566877379
41,0.6000000000000001,0.1,0.001403376319324851
42,0.6000000000000001,0.1,0.0014154666064652302
43,0.6000000000000001,0.1,0.0014275414643990434
44,0.6000000000000001,0.1,0.0014395975291375117
45,0.6000000000000001,0.1,0.0014516314214355636
46,0.6000000000000001,0.1,0.001463639742930997
47,0.6000000000000001,0.1,0.0014756190732199228
48,0.6000000000000001,0.1,0.001487565967719172
49,0.6000000000000001,0.1,0.0014994769561919297
50,0.6000000000000001,0.1,0.001511348541834026
51,0.6000000000000001,0.1,0.0015231772008358277
52,0.6000000000000001,0.1,0.001534959382349152
53,0.6000000000000001,0.1,0.0015466915088005937
54,0.6000000000000001,0.1,0.0015583699765025591
55,0.6000000000000001,0.1,0.0015699911565214622
56,0.6000000000000001,0.1,0.0015815513957692896
57,0.6000000000000001,0.1,0.0015930470182903042
58,0.6000000000000001,0.1,0.0016044743267192422
59,0.6000000000000001,0.1,0.0016158296038911338
60,0.6000000000000001,0.1,0.0016271091145859833
61,0.6000000000000001,0.1,0.0016383091073940914
62,0.6000000000000001,0.1,0.0016494258166898854
63,0.6000000000000001,0.1,0.0016604554647038448
64,0.6000000000000001,0.1,0.0016713942636834825
65,0.6000000000000001,0.1,0.0016822384181354828
66,0.6000000000000001,0.1,0.0016929841271420168
67,0.6000000000000001,0.1,0.0017036275867449784
68,0.6000000000000001,0.1,0.001714164992392491
69,0.6000000000000001,0.1,0.0017245925414424866
70,0.6000000000000001,0.1,0.0017349064357185442
71,0.6000000000000001,0.1,0.0017451028841134436
72,0.6000000000000001,0.1,0.0017551781052361293
73,0.6000000000000001,0.1,0.001765128330097926
74,0.6000000000000001,0.1,0.00177494980483398
75,0.6000000000000001,0.1,0.0017846387934559792
76,0.6000000000000001,0.1,0.0017941915806322605
77,0.6000000000000001,0.1,0.0018036044744914484
78,0.6000000000000001,0.1,0.0018128738094457804
79,0.6000000000000001,0.1,0.0018219959490302787
80,0.6000000000000001,0.1,0.0018309672887539177
81,0.6000000000000001,0.1,0.0018397842589589213
82,0.6000000000000001,0.1,0.0018484433276843046
83,0.6000000000000001,0.1,0.001856941003529749
84,0.6000000000000001,0.1,0.0018652738385158837
85,0.6000000000000001,0.1,0.0018734384309370142
86,0.6000000000000001,0.1,0.001881431428202325
87,0.6000000000000001,0.1,0.0018892495296615693
88,0.6000000000000001,0.1,0.0018968894894112367
89,0.6000000000000001,0.1,0.0019043481190771905
90,0.6000000000000001,0.1,0.0019116222905697638
91,0.6000000000000001,0.1,0.0019187089388073024
